[2026-01-18 16:02:11] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:12] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:13] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:14] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:15] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:16] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:17] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:18] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:19] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:20] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:21] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:22] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:23] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:24] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:25] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 16:02:26] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:49] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:50] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:51] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:52] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:53] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:54] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:55] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 20:46:56] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
