[2026-01-17 00:05:55] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 00:57:35] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 09:54:31] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 09:58:02] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 09:58:21] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 11:20:42] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 11:47:08] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 11:50:38] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 15:08:46] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-17 15:28:49] INTENT=RETURN_HOME | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-18 14:48:55] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 14:54:03] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:01:57] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:01:58] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:01:59] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:00] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:01] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:02] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:03] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:04] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:05] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:06] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:07] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:08] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:09] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:10] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:11] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:12] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:13] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:14] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:15] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:16] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:17] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
[2026-01-18 15:02:18] INTENT=RETURN_HOME | DECISION=WAIT | ACTION=HOVER | REASON=Waiting for real battery data
