[2026-01-16T19:45:59.914495] INTENT=HOVER | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T19:54:23.761794] INTENT=HOVER | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T19:55:03.502411] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T19:59:09.916800] INTENT=HOVER | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T20:02:36.505084] INTENT=HOVER | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T20:02:47.216385] INTENT=ABORT | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T20:19:59.583815] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T20:22:32.662958] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T20:32:57.784313] INTENT=HOVER | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T20:33:21.246725] INTENT=ABORT | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T21:30:21.740132] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T21:30:24.178183] INTENT=ABORT | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T21:33:37.028100] INTENT=HOVER | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T21:34:54.734397] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T21:55:16.121724] INTENT=HOVER | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T21:55:21.757342] INTENT=ABORT | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T22:06:36.932796] INTENT=ABORT | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T22:09:20.963415] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T22:09:45.966573] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T22:14:31.013715] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
[2026-01-16T22:18:47.264583] INTENT=STOP | DECISION=OVERRIDE | ACTION=RETURN_HOME | REASON=Battery unsafe
